Serial Number,Substrate Thickness,Patch Length,Patch Width,Frequency,Return Loss (s11),Gain
608,87,142,180,0.6823,-41.914,8.6348
609,88,142,180,0.6823,-32.445,8.7577
610,89,142,180,0.6832,-35.028,8.6914
611,80,142,181,0.6436,-17.306,9.8812
612,81,142,181,0.6526,-18.098,9.5366
613,82,142,181,0.6679,-20.761,9.211
614,83,142,181,0.6733,-24.833,9.0097
615,84,142,181,0.676,-25.29,8.9619
616,85,142,181,0.6778,-28.802,8.8968
617,86,142,181,0.6787,-30.764,8.8199
618,87,142,181,0.6841,-44.641,8.7158
619,88,142,181,0.6823,-36.17,8.6938
620,89,142,181,0.6823,-37.026,8.6178
621,80,142,182,0.6427,-17.238,9.8755
622,81,142,182,0.6679,-20.569,9.2448
623,82,142,182,0.6751,-23.739,9.044
624,83,142,182,0.6778,-26.668,8.9506
625,84,142,182,0.6751,-27.8,8.9531
626,85,142,182,0.6823,-31.903,8.8091
627,86,142,182,0.6787,-32.391,8.844
628,87,142,182,0.6841,-41.016,8.6771
629,88,142,182,0.6859,-36.159,8.6184
630,89,142,182,0.6823,-51.842,8.6004
631,80,142,183,0.6418,-17.478,9.8569
632,81,142,183,0.6535,-17.922,9.549
633,82,142,183,0.6661,-23.086,9.1901
634,83,142,183,0.6769,-25.668,8.9824
635,84,142,183,0.6742,-26.092,8.9976
636,85,142,183,0.6769,-30.433,8.8399
637,86,142,183,0.6769,-33.108,8.7805
638,87,142,183,0.6832,-47.297,8.7221
639,88,142,183,0.6787,-33.585,8.7565
640,89,142,183,0.6814,-53.467,8.662
641,80,142,184,0.6418,-17.816,9.8685
642,81,142,184,0.6598,-19.763,9.3389
643,82,142,184,0.6742,-24.267,9.0663
644,83,142,184,0.6706,-24.282,9.0831
645,84,142,184,0.6742,-26.786,8.9771
646,85,142,184,0.6769,-31.464,8.8022
647,86,142,184,0.6823,-53.781,8.7525
648,87,142,184,0.6823,-46.825,8.7545
649,88,142,184,0.6841,-40.493,8.681
650,89,142,184,0.6841,-37.169,8.6151
651,80,142,185,0.6409,-17.684,9.8516
652,81,142,185,0.6598,-19.852,9.4191
653,82,142,185,0.6724,-24.708,9.0427
654,83,142,185,0.6715,-27.035,9.0082
655,84,142,185,0.6787,-35.224,8.8725
656,85,142,185,0.6742,-29.494,8.8706
657,86,142,185,0.6805,-45.056,8.7566
658,87,142,185,0.6787,-37.575,8.7485
659,88,142,185,0.6787,-44.749,8.6623
660,89,142,185,0.6796,-40.545,8.7188
661,80,142,186,0.6427,-19.008,9.8686
662,81,142,186,0.658,-20.576,9.3452
663,82,142,186,0.6652,-23.071,9.1585
664,83,142,186,0.6706,-25.513,8.9854
665,84,142,186,0.4114,-1.486,7.2331
666,85,142,186,0.6742,-31.313,8.9703
667,86,142,186,0.6769,-36.821,8.8015
668,87,142,186,0.6778,-36.488,8.7496
669,88,142,186,0.6778,-50.698,8.7474
670,89,142,186,0.6787,-43.35,8.674
671,80,142,187,0.6427,-19.179,9.8749
672,81,142,187,0.6499,-18.481,9.5121
673,82,142,187,0.6706,-26.709,9.0525
674,83,142,187,0.6688,-26.751,9.0489
675,84,142,187,0.6724,-27.517,8.3432
676,85,142,187,0.6805,-46.635,8.7961
677,86,142,187,0.676,-35.073,8.8001
678,87,142,187,0.6778,-55,8.7139
679,88,142,187,0.6787,-36.855,8.7317
680,89,142,187,0.6778,-43.412,8.7067
681,80,142,188,0.6382,-18.114,9.8465
682,81,142,188,0.6472,-20.914,9.513
683,82,142,188,0.6715,-25.363,9.0459
684,83,142,188,0.6688,-28.392,9.0072
685,84,142,188,0.6697,-31.632,8.9655
686,85,142,188,0.6778,-35.442,8.8372
687,86,142,188,0.676,-33.214,8.8015
688,87,142,188,0.6751,-46.528,8.8228
689,88,142,188,0.6814,-34.057,8.6799
690,89,142,188,0.6778,-43.504,8.7177
691,80,142,189,0.6382,-18.348,9.8504
692,81,142,189,0.649,-18.622,9.493
693,82,142,189,0.6706,-25.48,9.0459
694,83,142,189,0.6679,-25.539,9.0248
695,84,142,189,0.6706,-33.258,8.9195
696,85,142,189,0.6742,-34.015,8.8743
697,86,142,189,0.6787,-41.057,8.7475
698,87,142,189,0.6751,-37.371,8.7564
699,88,142,189,0.6814,-33.755,8.6026
700,89,142,189,0.6778,-56.329,8.6476
701,80,143,180,0.6436,-16.578,9.8651
702,81,143,180,0.6607,-18.222,9.3231
703,82,143,180,0.6742,-22.678,9.0237
704,83,143,180,0.6724,-23.069,9.0191
705,84,143,180,0.676,-24.884,8.8822
706,85,143,180,0.6778,-31.731,8.845
707,86,143,180,0.6832,-32.769,8.6905
708,87,143,180,0.6805,-33.297,8.6911
709,88,143,180,0.6859,-48.75,8.5923
710,89,143,180,0.6859,-39.928,8.6367
711,80,143,181,0.6418,-16.606,9.8765
712,81,143,181,0.6598,-18.519,9.3501
713,82,143,181,0.667,-22.896,9.0814
714,83,143,181,0.6769,-24.927,8.8831
715,84,143,181,0.6742,-24.023,8.9417
716,85,143,181,0.6823,-30.611,8.7599
717,86,143,181,0.6832,-32.713,8.6916
718,87,143,181,0.6787,-31.988,8.7069
719,88,143,181,0.685,-44.895,8.5958
720,89,143,181,0.6859,-35.06,8.5869
721,80,143,182,0.6409,-16.551,9.8666
722,81,143,182,0.6526,-16.802,9.507
723,82,143,182,0.6742,-22.139,9.0434
724,83,143,182,0.676,-24.504,8.961
725,84,143,182,0.6742,-24.551,8.9375
726,85,143,182,0.6805,-32.024,8.7348
727,86,143,182,0.6823,-37.445,8.74
728,87,143,182,0.6805,-31.531,8.6471
729,88,143,182,0.6823,-28.027,8.6476
730,89,143,182,0.6823,-43.907,8.5682
731,80,143,183,0.6409,-16.917,9.8569
732,81,143,183,0.6517,-17.308,9.5043
733,82,143,183,0.6724,-22.099,9.0403
734,83,143,183,0.6778,-25.044,8.8814
735,84,143,183,0.6724,-26.213,8.9011
736,85,143,183,0.676,-27.594,8.8201
737,86,143,183,0.6805,-25.958,8.6858
738,87,143,183,0.6796,-35.06,8.6811
739,88,143,183,0.6841,-36.029,8.615
740,89,143,183,0.6805,-53.039,8.5945
741,80,143,184,0.6409,-16.952,9.8298
742,81,143,184,0.658,-18.279,9.379
743,82,143,184,0.6724,-22.928,9.0172
744,83,143,184,0.6706,-23.976,9.0156
745,84,143,184,0.6724,-25.149,8.9053
746,85,143,184,0.6751,-31.758,8.7884
747,86,143,184,0.676,-30.471,8.7584
748,87,143,184,0.6778,-31.991,8.6598
749,88,143,184,0.6832,-39.065,8.5931
750,89,143,184,0.6787,-41.775,8.6553
751,80,143,185,0.6427,-18.007,9.8657
752,81,143,185,0.6508,-18.682,9.5079
753,82,143,185,0.6715,-23.006,9.0639
754,83,143,185,0.6751,-25.909,8.9309
755,84,143,185,0.6778,-28.125,8.8402
756,85,143,185,0.6742,-28.626,8.8691
757,86,143,185,0.6805,-43.487,8.6988
758,87,143,185,0.6778,-31.063,8.6959
759,88,143,185,0.6778,-34.417,8.6406
760,89,143,185,0.6787,-39.03,8.6855
761,80,143,186,0.6382,-17.288,9.8412
762,81,143,186,0.6562,-19.165,9.3375
763,82,143,186,0.6634,-21.686,9.2184
764,83,143,186,0.667,-24.954,8.9761
765,84,143,186,0.6715,-27.092,8.918
766,85,143,186,0.6787,-45.993,8.7636
767,86,143,186,0.6778,-37.26,8.7543
768,87,143,186,0.6814,-49.771,8.6512
769,88,143,186,0.676,-36.612,8.6642
770,89,143,186,0.6778,-39.342,8.6737
771,80,143,187,0.6373,-17.359,9.8498
772,81,143,187,0.6571,-20.651,9.3386
773,82,143,187,0.6715,-23.412,9.0131
774,83,143,187,0.6751,-28.34,8.8973
775,84,143,187,0.6706,-28.388,8.9055
776,85,143,187,0.6724,-29.518,8.9076
777,86,143,187,0.6742,-33.022,8.7488
778,87,143,187,0.6769,-36.792,8.7334
779,88,143,187,0.6778,-35.91,8.6734
780,89,143,187,0.6787,-40.658,8.6028
781,80,143,188,0.6373,-17.344,9.8142
782,81,143,188,0.6481,-18.799,9.5098
783,82,143,188,0.6706,-23.474,9.0393
784,83,143,188,0.6742,-27.208,8.9223
785,84,143,188,0.6706,-28.62,8.9214
786,85,143,188,0.6733,-32.144,8.7956
787,86,143,188,0.6742,-34.431,8.7578
788,87,143,188,0.6769,-49.106,8.6233
789,88,143,188,0.6778,-46.049,8.6332
790,89,143,188,0.6778,-49.12,8.5752
791,80,143,189,0.6373,-17.664,9.8372
792,81,143,189,0.6553,-20.886,9.3078
793,82,143,189,0.6625,-23.255,9.1072
794,83,143,189,0.667,-25.287,8.9976
795,84,143,189,0.6706,-25.476,8.8945
796,85,143,189,0.6715,-28.615,8.9158
797,86,143,189,0.6742,-32.485,8.7346
798,87,143,189,0.6796,-40.539,8.6177
799,88,143,189,0.6778,-48.086,8.5912
800,89,143,189,0.6769,-41.222,8.6206
801,80,144,180,0.6445,-16.643,9.8761
802,81,144,180,0.6598,-17.296,9.3533
803,82,144,180,0.6733,-21.656,8.9904
804,83,144,180,0.6715,-22.283,9.0055
805,84,144,180,0.6751,-22.606,8.8757
806,85,144,180,0.6814,-28.778,8.7109
807,86,144,180,0.6796,-27.946,8.6235
808,87,144,180,0.6859,-32.226,8.5162
809,88,144,180,0.685,-44.12,8.5679
810,89,144,180,0.6859,-39.092,8.5441
811,80,144,181,0.6409,-15.983,9.8994
812,81,144,181,0.6508,-15.866,9.4937
813,82,144,181,0.6733,-21.626,8.9815
814,83,144,181,0.6706,-22.134,8.4888
815,84,144,181,0.6733,-23.371,8.8612
816,85,144,181,0.6796,-27.965,8.7721
817,86,144,181,0.6805,-27.725,8.7109
818,87,144,181,0.6823,-37.901,8.6823
819,88,144,181,0.6841,-40.731,8.6001
820,89,144,181,0.6859,-45.991,9.0116
821,80,144,182,0.6427,-16.904,9.877
822,81,144,182,0.6589,-17.736,9.3568
823,82,144,182,0.6733,-21.139,9.0156
824,83,144,182,0.676,-23.434,8.8928
825,84,144,182,0.6733,-22.866,8.9465
826,85,144,182,0.6787,-30.232,8.7262
827,86,144,182,0.6769,-30.079,8.7382
828,87,144,182,0.6787,-29.302,8.6289
829,88,144,182,0.6796,-30.867,8.5542
830,89,144,182,0.6796,-39.307,8.5845
831,80,144,183,0.6427,-17.033,9.8732
832,81,144,183,0.6571,-18.908,9.2594
833,82,144,183,0.6724,-21.668,8.97
834,83,144,183,0.6742,-24.09,8.9258
835,84,144,183,0.6724,-26.199,8.8208
836,85,144,183,0.6796,-33.959,8.6921
837,86,144,183,0.6805,-36.558,8.7135
838,87,144,183,0.6742,-30.41,8.7145
839,88,144,183,0.6778,-31.867,8.6242
840,89,144,183,0.6832,-57.175,8.5402
841,80,144,184,0.6382,-16.403,9.8429
842,81,144,184,0.649,-17.238,9.4515
843,82,144,184,0.6715,-22.382,8.9459
844,83,144,184,0.6733,-24.333,8.9083
845,84,144,184,0.6715,-25.506,8.8857
846,85,144,184,0.6733,-24.877,8.8185
847,86,144,184,0.6805,-43.92,8.6467
848,87,144,184,0.6769,-27.719,8.7072
849,88,144,184,0.6805,-33.724,8.5456
850,89,144,184,0.6823,-43.95,8.5636
851,80,144,185,0.6382,-16.475,9.8429
852,81,144,185,0.6553,-18.744,9.2769
853,82,144,185,0.6715,-22.57,8.9463
854,83,144,185,0.6742,-27.981,8.9082
855,84,144,185,0.6706,-23.159,8.9729
856,85,144,185,0.6778,-33.814,8.7376
857,86,144,185,0.6751,-29.388,8.7377
858,87,144,185,0.6796,-45.556,8.6558
859,88,144,185,0.6769,-31.368,8.5952
860,89,144,185,0.6823,-43.104,8.5126
861,80,144,186,0.6373,-16.547,9.799
862,81,144,186,0.6634,-19.855,9.1818
863,82,144,186,0.6688,-22.957,9.0033
864,83,144,186,0.6724,-24.684,8.912
865,84,144,186,0.6706,-24.473,8.9206
866,85,144,186,0.6724,-26.831,8.8079
867,86,144,186,0.6742,-29.551,8.7125
868,87,144,186,0.6787,-39.313,8.6406
869,88,144,186,0.6814,-55.074,8.5391
870,89,144,186,0.6823,-55.299,8.5326
871,80,144,187,0.6373,-16.571,9.8224
872,81,144,187,0.6562,-19.165,9.3236
873,82,144,187,0.6697,-21.922,9.0029
874,83,144,187,0.6679,-24.106,8.9693
875,84,144,187,0.6715,-24.767,8.9002
876,85,144,187,0.6769,-34.068,8.6997
877,86,144,187,0.6787,-32.606,8.6741
878,87,144,187,0.6751,-33.582,8.6029
879,88,144,187,0.6751,-33.716,8.6257
880,89,144,187,0.6805,-39.113,8.519
881,80,144,188,0.6391,-17.657,9.8344
882,81,144,188,0.6544,-19.536,9.3458
883,82,144,188,0.6697,-24.305,8.9651
884,83,144,188,0.6661,-22.702,9.0455
885,84,144,188,0.6706,-24.888,8.8435
886,85,144,188,0.6706,-27.106,8.8272
887,86,144,188,0.6787,-42.973,8.6053
888,87,144,188,0.6796,-50.02,8.5777
889,88,144,188,0.6796,-44.104,8.5573
890,89,144,188,0.6796,-37.313,8.5581
891,80,144,189,0.6382,-17.75,9.8462
892,81,144,189,0.6544,-19.022,9.3065
893,82,144,189,0.6679,-24.54,8.9843
894,83,144,189,0.6706,-26.176,8.9073
895,84,144,189,0.6733,-32.146,8.806
896,85,144,189,0.6706,-31.42,8.7485
897,86,144,189,0.6787,-43.106,8.6028
898,87,144,189,0.6778,-53.205,8.5889
899,88,144,189,0.6796,-62.786,8.5647
900,89,144,189,0.676,-44.522,8.5637
901,80,145,180,0.64,-15.169,9.8522
902,81,145,180,0.6598,-16.891,9.2768
903,82,145,180,0.6724,-20.411,8.9687
904,83,145,180,0.6751,-22.097,8.8569
905,84,145,180,0.6733,-22.566,8.85
906,85,145,180,0.6751,-28.346,8.7121
907,86,145,180,0.6805,-28.061,8.6369
908,87,145,180,0.6787,-31.798,8.5867
909,88,145,180,0.6832,-33.731,8.5074
910,89,145,180,0.6805,-29.56,8.5941
911,80,145,181,0.6418,-16.089,9.8639
912,81,145,181,0.6643,-17.823,9.262
913,82,145,181,0.6724,-21.456,8.9153
914,83,145,181,0.6769,-21.46,8.7941
915,84,145,181,0.6724,-22.274,8.8939
916,85,145,181,0.6787,-26.604,8.7247
917,86,145,181,0.6796,-28.22,8.6666
918,87,145,181,0.6814,-30.665,8.6101
919,88,145,181,0.6823,-37.043,8.524
920,89,145,181,0.6841,-38.977,8.4972
921,80,145,182,0.6418,-16.216,9.8428
922,81,145,182,0.6499,-16.1,9.4445
923,82,145,182,0.6706,-21.161,8.9732
924,83,145,182,0.6751,-22.207,8.8677
925,84,145,182,0.6724,-22.942,8.8362
926,85,145,182,0.6778,-25.817,8.7223
927,86,145,182,0.6796,-30.331,8.6501
928,87,145,182,0.6814,-34.976,8.5795
929,88,145,182,0.6787,-32.273,8.5499
930,89,145,182,0.6823,-38.064,8.5002
931,80,145,183,0.6373,-15.543,9.8232
932,81,145,183,0.6571,-17.144,9.298
933,82,145,183,0.6634,-19.166,9.1302
934,83,145,183,0.6751,-23.016,8.8508
935,84,145,183,0.6724,-22.588,8.8896
936,85,145,183,0.6769,-30.601,8.707
937,86,145,183,0.6796,-31.479,8.6163
938,87,145,183,0.6805,-32.431,8.5283
939,88,145,183,0.6823,-29.566,8.557
940,89,145,183,0.6823,-52.01,8.5054
941,80,145,184,0.64,-16.476,9.8591
942,81,145,184,0.6553,-19.009,9.251
943,82,145,184,0.6706,-20.816,9.0172
944,83,145,184,0.6733,-22.99,8.8656
945,84,145,184,0.6706,-23.338,8.8638
946,85,145,184,0.6724,-27.029,8.7556
947,86,145,184,0.6787,-35.883,8.6697
948,87,145,184,0.6805,-35.843,8.5807
949,88,145,184,0.6769,-33.282,8.5505
950,89,145,184,0.6787,-30.529,8.5518
951,80,145,185,0.6364,-15.752,9.8159
952,81,145,185,0.6481,-16.483,9.4766
953,82,145,185,0.6697,-21.101,9.0062
954,83,145,185,0.6733,-22.538,8.8831
955,84,145,185,0.6769,-28.411,8.7021
956,85,145,185,0.676,-27.648,8.7042
957,86,145,185,0.6787,-36.417,8.609
958,87,145,185,0.6805,-35.844,8.5438
959,88,145,185,0.6814,-42.255,8.4972
960,89,145,185,0.6814,-48.646,8.5005
961,80,145,186,0.6391,-16.603,9.839
962,81,145,186,0.6589,-19.715,9.1726
963,82,145,186,0.6688,-20.869,8.9811
964,83,145,186,0.6724,-23.595,8.811
965,84,145,186,0.676,-25.043,8.7213
966,85,145,186,0.6715,-26.429,8.685
967,86,145,186,0.676,-44.786,8.6723
968,87,145,186,0.6787,-34.963,8.6488
969,88,145,186,0.6805,-37.873,8.5083
970,89,145,186,0.6823,-46.493,8.4427
971,80,145,187,0.6355,-16.042,9.8175
972,81,145,187,0.6553,-17.809,9.2945
973,82,145,187,0.6679,-22.017,8.9699
974,83,145,187,0.6706,-24.059,8.8506
975,84,145,187,0.6688,-23.128,8.922
976,85,145,187,0.6751,-31.791,8.6987
977,86,145,187,0.6778,-45.055,8.6291
978,87,145,187,0.6742,-30.859,8.6722
979,88,145,187,0.6787,-37.103,8.563
980,89,145,187,0.6769,-41.543,8.5461
981,80,145,188,0.6346,-16.055,9.806
982,81,145,188,0.6526,-18.969,9.2768
983,82,145,188,0.6679,-21.673,8.9635
984,83,145,188,0.6697,-23.075,8.8886
985,84,145,188,0.6688,-24.241,8.8463
986,85,145,188,0.6706,-30.01,8.7496
987,86,145,188,0.6715,-29.921,8.6724
988,87,145,188,0.6724,-29.468,8.6402
989,88,145,188,0.676,-34.094,8.5807
990,89,145,188,0.6787,-50.862,8.4907
991,80,145,189,0.6337,-16.107,9.7841
992,81,145,189,0.6454,-16.714,9.4563
993,82,145,189,0.6661,-23.274,9.0174
994,83,145,189,0.6706,-23.873,8.8438
995,84,145,189,0.6679,-25.241,8.8171
996,85,145,189,0.6688,-26.529,8.8158
997,86,145,189,0.6715,-30.131,8.6649
998,87,145,189,0.6733,-29.687,8.6894
999,88,145,189,0.676,-34.73,8.5717
1000,89,145,189,0.676,-30.394,8.5406
