Serial Number,Substrate Thickness,Patch Length,Patch Width,Frequency,Return Loss (s11),Gain
139,88,137,183,0.4321,-1.6585,6.9886
140,89,137,183,0.4285,-1.6594,6.8472
141,80,137,184,0.6481,-22.684,9.9305
142,81,137,184,0.658,-26.448,9.7015
143,82,137,184,0.406,-1.4494,7.5567
144,83,137,184,0.406,-1.4373,7.3572
145,84,137,184,0.4123,-1.4695,7.1662
146,85,137,184,0.6805,-42.201,9.0178
147,86,137,184,0.4222,-1.579,6.9558
148,87,137,184,0.6841,-34.644,8.9353
149,88,137,184,0.4303,-1.6435,6.9362
150,89,137,184,0.6841,-30.379,8.8991
151,80,137,185,0.6472,-22.593,9.9174
152,81,137,185,0.6661,-24.252,9.557
153,82,137,185,0.6778,-35.537,9.2863
154,83,137,185,0.6751,-14.915,9.179
155,84,137,185,0.6778,-43.032,9.1532
156,85,137,185,0.6814,-33.365,8.975
157,86,137,185,0.4204,-1.5594,6.8981
158,87,137,185,0.6823,-34.666,8.951
159,88,137,185,0.6886,-26.99,8.8667
160,89,137,185,0.6895,-25.208,8.7832
161,80,137,186,0.6472,-22.974,9.8877
162,81,137,186,0.658,-25.059,9.4833
163,82,137,186,0.6715,-31.406,9.3158
164,83,137,186,0.6751,-33.984,9.2222
165,84,137,186,0.6787,-36.812,9.0937
166,85,137,186,0.6796,-44.849,9.0541
167,86,137,186,0.6823,-33.806,8.9355
168,87,137,186,0.6823,-34.012,8.9328
169,88,137,186,0.6832,-31.509,8.8905
170,89,137,186,0.66293,-14.51,9.0988
171,80,137,187,0.6463,-23.782,9.9209
172,81,137,187,0.6553,-24.273,9.6164
173,82,137,187,0.6697,-33.577,9.3025
174,83,137,187,0.676,-39.373,9.1642
175,84,137,187,0.415,-1.5135,7.2557
176,85,137,187,0.6787,-35.951,9.0489
177,86,137,187,0.4195,-1.5553,6.8888
178,87,137,187,0.4231,-1.6024,6.8541
179,88,137,187,0.4294,-1.6517,6.9122
180,89,137,187,0.6832,-29.682,8.8384
181,80,137,188,0.6454,-23.96,9.8899
182,81,137,188,0.6553,-26.615,9.6151
183,82,137,188,0.6724,-36.038,9.3037
184,83,137,188,0.6733,-44.131,9.1725
185,84,137,188,0.415,-1.5209,7.2622
186,85,137,188,0.4168,-1.5312,6.9557
187,86,137,188,0.6805,-34.625,8.9832
188,87,137,188,0.6814,-32.189,8.9242
189,88,137,188,0.6823,-32.423,8.9181
190,89,137,188,0.6823,-29.962,8.9066
191,80,137,189,0.6454,-23.856,9.8787
192,81,137,189,0.6553,-24.112,9.626
193,82,137,189,0.6616,-29.783,9.37
194,83,137,189,0.6778,-31.769,9.1216
195,84,137,189,0.6805,-30.243,9.0721
196,85,137,189,0.6778,-43.851,9.0847
197,86,137,189,0.6796,-37.634,9.0019
198,87,137,189,0.6814,-31.025,8.8795
199,88,137,189,0.4294,-1.6518,6.9029
200,89,137,189,0.4321,-1.6838,6.9338
201,80,138,180,0.6499,-20.693,9.9211
202,81,138,180,0.6607,-21.118,9.6322
203,82,138,180,0.6742,-26.831,9.2795
204,83,138,180,0.6778,-28.929,9.1869
205,84,138,180,0.6796,-34.292,9.0967
206,85,138,180,0.8821,-2.5642,9.2571
207,86,138,180,0.6841,-40.933,8.9235
208,87,138,180,0.685,-44.636,8.8968
209,88,138,180,0.6895,-28.249,8.8513
210,89,138,180,0.6859,-35.717,8.8028
211,80,138,181,0.649,-21.011,9.93
212,81,138,181,0.6598,-21.309,9.6242
213,82,138,181,0.6724,-29.979,9.2656
214,83,138,181,0.6778,-27.64,9.236
215,84,138,181,0.6805,-33.724,9.0484
216,85,138,181,0.6823,-38.062,8.9973
217,86,138,181,0.4222,-1.5783,6.9069
218,87,138,181,0.6886,-31.15,8.8921
219,88,138,181,0.685,-36.151,8.8209
220,89,138,181,0.685,-41.232,8.8608
221,80,138,182,0.6481,-20.912,9.9273
222,81,138,182,0.658,-24.214,9.637
223,82,138,182,0.6742,-28.475,9.2704
224,83,138,182,0.676,-30.517,9.2034
225,84,138,182,0.6787,-33.2,9.0695
226,85,138,182,0.6805,-44.393,9.0146
227,86,138,182,0.6823,-43.283,8.9553
228,87,138,182,0.6841,-41.892,8.8435
229,88,138,182,0.6841,-44.041,8.8916
230,89,138,182,0.685,-41.526,8.8057
231,80,138,183,0.6472,-21.515,9.9061
232,81,138,183,0.6589,-21.971,9.6588
233,82,138,183,0.6724,-27.417,9.2893
234,83,138,183,0.6769,-34.443,9.1197
235,84,138,183,0.6796,-50.947,9.0204
236,85,138,183,0.6796,-49.208,9.0231
237,86,138,183,0.6823,-41.785,8.9121
238,87,138,183,0.6832,-45.075,8.8931
239,88,138,183,0.6841,-43.821,8.8789
240,89,138,183,0.685,-33.398,8.8315
241,80,138,184,0.6472,-21.323,9.9019
242,81,138,184,0.6562,-25.815,9.6603
243,82,138,184,0.6706,-27.992,9.2781
244,83,138,184,0.676,-30.574,9.193
245,84,138,184,0.4123,-1.4845,7.259
246,85,138,184,0.4177,-1.5303,7.0186
247,86,138,184,0.6814,-34.641,8.9258
248,87,138,184,0.6868,-27.437,8.8917
249,88,138,184,0.6832,-42.48,8.8825
250,89,138,184,0.6841,-30.996,8.8349
251,80,138,185,0.6463,-21.567,9.9231
252,81,138,185,0.6571,-23.247,9.6953
253,82,138,185,0.6778,-31.128,9.1973
254,83,138,185,0.6751,-33.964,9.2038
255,84,138,185,0.4096,-1.4712,7.1767
256,85,138,185,0.424,-1.5875,7.0086
257,86,138,185,0.4312,-1.6335,7.0593
258,87,138,185,0.424,-1.6029,6.8414
259,88,138,185,0.4303,-1.6491,6.957
260,89,138,185,0.6823,-32.84,8.8439
261,80,138,186,0.6463,-22.022,9.8988
262,81,138,186,0.6553,-22.444,9.5655
263,82,138,186,0.6697,-29.99,9.2928
264,83,138,186,0.6733,-30.986,9.2496
265,84,138,186,0.6778,-34.573,9.0353
266,85,138,186,0.6787,-38.961,9.0099
267,86,138,186,0.685,-27.49,8.8668
268,87,138,186,0.6841,-26.864,8.8633
269,88,138,186,0.6814,-31.836,8.8429
270,89,138,186,0.6832,-31.739,8.8063
272,81,138,187,0.6553,-23.241,9.5976
273,82,138,187,0.6715,-31.746,9.2757
274,83,138,187,0.6724,-36.21,9.1636
275,84,138,187,0.676,-36.954,9.0892
276,85,138,187,0.6787,-40.462,8.9614
277,86,138,187,0.685,-28.416,8.8865
278,87,138,187,0.685,-26.514,8.8554
279,88,138,187,0.6823,-38.13,8.8459
280,89,138,187,0.6823,-30.09,8.8057
281,80,138,188,0.6445,-22.593,9.8785
282,81,138,188,0.6625,-26.185,9.4109
283,82,138,188,0.6751,-40.058,9.2242
284,83,138,188,0.6742,-38.675,9.1898
285,84,138,188,0.676,-45.713,9.0295
286,85,138,188,0.676,-41.739,9.0409
287,86,138,188,0.6796,-35.542,8.9222
288,87,138,188,0.6796,-30.842,8.8778
289,88,138,188,0.6796,-37.707,8.8899
290,89,138,188,0.6814,-32.737,8.8507
291,80,138,189,0.6445,-22.885,9.8887
292,81,138,189,0.6616,-24.734,9.4843
293,82,138,189,0.6751,-39.39,9.1711
294,83,138,189,0.6769,-45.239,9.1302
295,84,138,189,0.6751,-44.511,9.0975
296,85,138,189,0.6778,-43.137,9.0246
297,86,138,189,0.6796,-36.431,8.9346
298,87,138,189,0.6796,-34.207,8.9586
299,88,138,189,0.6805,-34.613,8.8544
300,89,138,189,0.6796,-29.071,8.8468
301,80,139,180,0.6481,-19.608,9.9112
302,81,139,180,0.667,-21.415,9.4144
303,82,139,180,0.6805,-28.84,9.1051
304,83,139,180,0.6769,-27.35,9.1784
305,84,139,180,0.6796,-13.548,9.0107
306,85,139,180,0.6805,-39.478,8.9406
307,86,139,180,0.6868,-39.057,8.8631
308,87,139,180,0.6841,-37.49,8.8847
309,88,139,180,0.685,-51.631,8.8394
310,89,139,180,0.6895,-41.631,8.7852
311,80,139,181,0.6481,-20.003,9.9083
312,81,139,181,0.6571,-21.815,9.5683
313,82,139,181,0.6715,-26.928,9.2047
314,83,139,181,0.6769,-27.486,9.1504
315,84,139,181,0.6787,-30.803,9.0839
316,85,139,181,0.6805,-34.949,9.0124
317,86,139,181,0.6859,-37.78,8.8861
318,87,139,181,0.6886,-32.674,8.7966
319,88,139,181,0.6832,-48.592,8.9026
320,89,139,181,0.685,-47.064,8.8242
321,80,139,182,0.6472,-19.943,9.9174
322,81,139,182,0.6571,-23.456,9.6575
323,82,139,182,0.6778,-27.689,9.1634
324,83,139,182,0.6742,-29.919,9.1159
325,84,139,182,0.6778,-31.068,9.0733
326,85,139,182,0.6796,-36.685,9.0074
327,86,139,182,0.6814,-42.931,8.9117
328,87,139,182,0.6886,-31.007,8.7975
329,88,139,182,0.6886,-31.007,8.7675
330,89,139,182,0.6841,-42.024,8.7727
331,80,139,183,0.6463,-19.852,9.8983
332,81,139,183,0.6643,-20.406,9.5321
333,82,139,183,0.6778,-28.526,9.1911
334,83,139,183,0.6742,-32.755,9.0835
335,84,139,183,0.6769,-32.73,9.0581
336,85,139,183,0.6787,-39.333,8.9685
337,86,139,183,0.6823,-66.431,8.8549
338,87,139,183,0.6868,-33.607,8.8276
339,88,139,183,0.6823,-52.463,8.8319
340,89,139,183,0.6841,-36.88,8.8013
341,80,139,184,0.6454,-20.17,9.9075
342,81,139,184,0.6643,-21.921,9.4359
343,82,139,184,0.6697,-27.471,9.283
344,83,139,184,0.6733,-30.498,9.1654
345,84,139,184,0.676,-33.599,9.0978
346,85,139,184,0.8812,-2.5744,9.159
347,86,139,184,0.8803,-2.6353,9.1935
348,87,139,184,0.6805,-44.535,8.8332
349,88,139,184,0.6877,-29.185,8.7434
350,89,139,184,0.6832,-32.009,8.7413
351,80,139,185,0.6445,-20.413,9.8832
352,81,139,185,0.6625,-22.141,9.4546
353,82,139,185,0.6607,-27.188,9.3223
354,83,139,185,0.6724,-35.459,9.0669
355,84,139,185,0.676,-32.529,9.0624
356,85,139,185,0.6778,-46.666,9.0184
357,86,139,185,0.6805,-41.924,8.8841
358,87,139,185,0.6805,-49.844,8.8802
359,88,139,185,0.6823,-39.907,8.7942
360,89,139,185,0.6841,-33.636,8.73
361,80,139,186,0.6445,-20.731,9.8929
362,81,139,186,0.6526,-25.798,9.6082
363,82,139,186,0.6679,-28.05,9.2366
364,83,139,186,0.6733,-30.903,9.0904
365,84,139,186,0.676,-32.322,9.0373
366,85,139,186,0.6778,-43.459,8.9065
367,86,139,186,0.6787,-39.691,8.9067
368,87,139,186,0.6796,-34.089,8.8529
369,88,139,186,0.6823,-38.064,8.8011
370,89,139,186,0.6814,-35.683,8.762
371,80,139,187,0.6436,-20.545,9.8927
372,81,139,187,0.6535,-21.942,9.6464
373,82,139,187,0.6751,-31.755,9.1461
374,83,139,187,0.6733,-59.45,9.0548
375,84,139,187,0.6805,-36.286,8.99
376,85,139,187,0.676,-58.273,8.9454
377,86,139,187,0.6787,-38.683,8.934
378,87,139,187,0.6796,-43.62,8.8699
379,88,139,187,0.6805,-36.51,8.8303
380,89,139,187,0.6859,-26.254,8.7156
381,80,139,188,0.6427,-20.915,9.866
382,81,139,188,0.6535,-21.902,9.5521
383,82,139,188,0.6751,-30.702,9.1495
384,83,139,188,0.6715,-32.442,9.1427
385,84,139,188,0.6751,-37.399,9.0407
386,85,139,188,0.676,-39.53,9.0298
387,86,139,188,0.6787,-42.445,8.8862
388,87,139,188,0.6787,-36.714,8.7981
389,88,139,188,0.6796,-55.252,8.8441
390,89,139,188,0.6841,-27.854,8.7496
391,80,139,189,0.6418,-21.135,9.8762
392,81,139,189,0.6526,-22.796,9.549
393,82,139,189,0.6742,-37.648,9.1434
394,83,139,189,0.6706,-36.367,9.1299
395,84,139,189,0.6733,-47.149,8.9879
396,85,139,189,0.6751,-38.566,8.9627
397,86,139,189,0.6778,-39.751,8.8738
398,87,139,189,0.6778,-34.1,8.7912
399,88,139,189,0.6796,-45.809,8.841
400,89,139,189,0.6805,-33.654,8.772
401,80,140,180,0.6472,-18.977,9.9061
402,81,140,180,0.6571,-19.902,9.6002
403,82,140,180,0.6715,-24.226,9.234
404,83,140,180,0.676,-25.026,9.1665
405,84,140,180,0.6787,-29.411,8.9813
406,85,140,180,0.6805,-35.134,8.9444
407,86,140,180,0.6823,-33.673,8.9207
408,87,140,180,0.6832,-41.072,8.8359
409,88,140,180,0.6895,-32.125,8.7202
410,89,140,180,0.685,-40.386,8.8127
411,80,140,181,0.6454,-18.825,9.9054
412,81,140,181,0.6562,-20.145,9.5676
413,82,140,181,0.6724,-25.05,9.2031
414,83,140,181,0.6751,-34.608,9.0421
415,84,140,181,0.6841,-32.371,8.9314
416,85,140,181,0.6796,-31.911,8.9734
417,86,140,181,0.685,-34.117,8.8316
418,87,140,181,0.6814,-52.267,8.8029
419,88,140,181,0.6832,-42.155,8.7545
420,89,140,181,0.6886,-30.665,8.7458
421,80,140,182,0.6445,-18.888,9.8909
422,81,140,182,0.6643,-20.486,9.4216
423,82,140,182,0.6706,-26.656,9.1325
424,83,140,182,0.6751,-28.189,9.0709
425,84,140,182,0.6769,-27.132,9.0721
426,85,140,182,0.6805,-31.074,8.9591
427,86,140,182,0.685,-42.985,8.8349
428,87,140,182,0.6859,-35.149,8.7554
429,88,140,182,0.6868,-29.941,8.701
430,89,140,182,0.6877,-29.172,8.7233
431,80,140,183,0.6481,-20.439,9.9281
432,81,140,183,0.6553,-21.106,9.6238
