fl,fw,mt,pl,pw,sh,sl,sw,freq,s11,gain
51.5,50,4,137,185,86,240,300,0.8434,-14.48460952,9.619302286
51.5,50,4,137,186,80,240,300,0.8398,-19.33760762,9.037376413
51.5,50,4,137,186,81,240,300,0.8434,-17.09308602,9.278583806
51.5,50,4,137,186,82,240,300,0.8443,-15.72989336,9.417262828
51.5,50,4,137,186,83,240,300,0.8452,-15.3502992,9.460921415
51.5,50,4,137,186,84,240,300,0.8443,-14.96335716,9.552504116
51.5,50,4,137,186,85,240,300,0.8443,-14.61440704,9.623168437
51.5,50,4,137,186,86,240,300,0.8416,-14.73974868,9.566923627
51,50,4,138,180,80,240,300,0.8407,-20.67971215,9.092462895
51,50,4,138,180,81,240,300,0.8443,-17.93643526,9.382937795
51,50,4,138,180,82,240,300,0.8461,-16.83504178,9.536734032
51,50,4,138,180,83,240,300,0.8461,-16.40221593,9.539438184
51,50,4,138,180,84,240,300,0.847,-15.46298515,9.637416881
51,50,4,138,180,85,240,300,0.8488,-14.56636685,9.666931957
51,50,4,138,180,86,240,300,0.8443,-15.00519176,9.737231323
51,50,4,138,181,80,240,300,0.8407,-20.66363218,9.060615304
51,50,4,138,181,81,240,300,0.8452,-18.11135685,9.384851255
51,50,4,138,181,82,240,300,0.8461,-16.87436109,9.541841594
51,50,4,138,181,83,240,300,0.8461,-16.2120766,9.555774192
51,50,4,138,181,84,240,300,0.847,-15.36863913,9.669005311
51,50,4,138,181,85,240,300,0.8452,-15.23153648,9.619535537
51,50,4,138,181,86,240,300,0.8443,-14.9357256,9.689310638
51,50,4,138,182,80,240,300,0.8398,-20.63459031,9.062124944
51,50,4,138,182,81,240,300,0.8443,-17.50168053,9.382304735
51,50,4,138,182,82,240,300,0.8506,-15.27501608,9.553836647
51,50,4,138,182,83,240,300,0.847,-16.02960606,9.572542365
51,50,4,138,182,84,240,300,0.8461,-15.74154247,9.662054285
51,50,4,138,182,85,240,300,0.8452,-15.39801275,9.629279696
51,50,4,138,182,86,240,300,0.8461,-14.18003759,9.70541307
51,50,4,138,183,80,240,300,0.8398,-20.46545891,9.062925957
51,50,4,138,183,81,240,300,0.8479,-16.60802924,9.412355854
51,50,4,138,183,82,240,300,0.8461,-16.58206445,9.491926011
51,50,4,138,183,83,240,300,0.8461,-15.77642146,9.607757011
51,50,4,138,183,84,240,300,0.8452,-15.50991776,9.646771287
51,50,4,138,183,85,240,300,0.8452,-15.23278447,9.651084661
51,50,4,138,183,86,240,300,0.8434,-15.32556088,9.642167793
51,50,4,138,184,80,240,300,0.8398,-20.65907811,9.01502696
51,50,4,138,184,81,240,300,0.8443,-17.22527225,9.386698246
51,50,4,138,184,82,240,300,0.8452,-16.46335514,9.442088868
51,50,4,138,184,83,240,300,0.8461,-16.16109555,9.531868803
51,50,4,138,184,84,240,300,0.8452,-15.35851145,9.673220923
51,50,4,138,184,85,240,300,0.8443,-15.18562041,9.662886543
51,50,4,138,184,86,240,300,0.8434,-15.11102905,9.670874154
51,50,4,138,185,80,240,300,0.8398,-20.55575948,9.036737263
51,50,4,138,185,81,240,300,0.8443,-17.73400915,9.369891273
51,50,4,138,185,82,240,300,0.8452,-16.52738011,9.450982865
51,50,4,138,185,83,240,300,0.847,-16.09105235,9.55823281
51,50,4,138,185,84,240,300,0.8452,-15.55117653,9.57148984
51,50,4,138,185,85,240,300,0.8434,-15.19650951,9.613769489
51,50,4,138,185,86,240,300,0.8434,-15.07377576,9.642993544
51,50,4,138,186,80,240,300,0.8398,-20.62410529,9.047332019
51,50,4,138,186,81,240,300,0.8434,-17.54688275,9.32010165
51,50,4,138,186,82,240,300,0.8452,-16.54494225,9.457545613
51,50,4,138,186,83,240,300,0.8443,-16.01720319,9.527312567
51,50,4,138,186,84,240,300,0.8452,-15.39798435,9.601649465
51,50,4,138,186,85,240,300,0.8443,-15.20680965,9.647476617
51,50,4,138,186,86,240,300,0.8425,-15.20142745,9.610613724
50.5,50,4,139,180,80,240,300,0.8398,-21.80434521,9.091328985
50.5,50,4,139,180,81,240,300,0.8452,-19.07840521,9.404649914
50.5,50,4,139,180,82,240,300,0.8461,-17.81533111,9.552167651
50.5,50,4,139,180,83,240,300,0.847,-16.80435617,9.592209423
50.5,50,4,139,180,84,240,300,0.847,-16.07741851,9.681109276
50.5,50,4,139,180,85,240,300,0.8452,-16.10227513,9.627284188
50.5,50,4,139,180,86,240,300,0.8443,-15.91316165,9.68083101
50.5,50,4,139,181,80,240,300,0.8398,-21.88716691,9.128882511
50.5,50,4,139,181,81,240,300,0.8443,-19.09329713,9.379135332
50.5,50,4,139,181,82,240,300,0.8461,-17.63689077,9.549134164
50.5,50,4,139,181,83,240,300,0.8461,-16.87524066,9.590400164
50.5,50,4,139,181,84,240,300,0.8461,-16.5342166,9.647641343
50.5,50,4,139,181,85,240,300,0.8461,-16.12882007,9.693729299
