fl,fw,mt,pl,pw,sh,sl,sw,freq,s11,gain
69.5,50.0,4.0,101.0,139.0,68.6,240.0,300.0,0.595,-22.884059376893,8.3516927806926
69.5,50.0,4.0,101.0,149.0,68.6,240.0,300.0,0.5896,-30.366176465972,9.171747893175867
69.5,50.0,4.0,101.0,159.0,68.6,240.0,300.0,0.9829,-48.011393898919,8.60341177941879
69.5,50.0,4.0,101.0,169.0,68.6,240.0,300.0,0.9793,-32.285924228363,8.688396172703468
69.5,50.0,4.0,101.0,179.0,68.6,240.0,300.0,0.5743,-26.569880298908,8.925150408516043
69.5,50.0,4.0,101.0,189.0,68.6,240.0,300.0,0.5635,-22.003042786707,8.881885982604299
69.5,50.0,4.0,101.0,199.0,68.6,240.0,300.0,0.9676,-19.955177201327,8.628620580576753
69.5,50.0,4.0,101.0,209.0,68.6,240.0,300.0,0.964,-19.003172861247,8.5756997330553
69.5,50.0,4.0,101.0,219.0,68.6,240.0,300.0,0.5968,-20.490846895258,8.632327888998528
69.5,50.0,4.0,101.0,229.0,68.6,240.0,300.0,0.5914,-24.84109613257,8.644073623639473
69.5,50.0,4.0,101.0,239.0,68.6,240.0,300.0,0.586,-28.194027144495,8.59959722143378
69.5,50.0,4.0,101.0,249.0,68.6,240.0,300.0,0.5806,-34.337750545478,8.39506097225765
69.5,50.0,4.0,101.0,259.0,68.6,240.0,300.0,0.5752,-42.607735917467,8.2813155797773
69.5,50.0,4.0,101.0,139.0,73.5,240.0,300.0,0.5869,-29.131740494658,8.393212040068253
69.5,50.0,4.0,101.0,149.0,73.5,240.0,300.0,0.5815,-36.937932867298,9.07725347318705
69.5,50.0,4.0,101.0,159.0,73.5,240.0,300.0,0.5752,-44.408759587704,9.020876791859788
69.5,50.0,4.0,101.0,169.0,73.5,240.0,300.0,0.9595,-47.092571711075,8.29239093994384
69.5,50.0,4.0,101.0,179.0,73.5,240.0,300.0,0.9559,-30.081444622704,8.451386503021116
69.5,50.0,4.0,101.0,189.0,73.5,240.0,300.0,0.9532,-25.414912235782,8.505142061095063
69.5,50.0,4.0,101.0,199.0,73.5,240.0,300.0,0.9487,-21.600000365928,8.60840847106039
69.5,50.0,4.0,101.0,209.0,73.5,240.0,300.0,0.9469,-19.711191371419,8.656542968570141
69.5,50.0,4.0,101.0,219.0,73.5,240.0,300.0,0.9451,-18.658786133529,8.539772397289104
69.5,50.0,4.0,101.0,229.0,73.5,240.0,300.0,0.5842,-19.814989519959,8.718205410972296
69.5,50.0,4.0,101.0,239.0,73.5,240.0,300.0,0.5797,-21.928430012877,8.493413136466415
69.5,50.0,4.0,101.0,249.0,73.5,240.0,300.0,0.5743,-24.540509969574,8.426242882355362
69.5,50.0,4.0,101.0,259.0,73.5,240.0,300.0,0.5698,-26.249643411379,8.4014616727864
69.5,50.0,4.0,101.0,139.0,78.4,240.0,300.0,0.5815,-42.799643446813,8.464660647409834
69.5,50.0,4.0,101.0,149.0,78.4,240.0,300.0,0.5743,-31.928444782338,9.072411968271432
69.5,50.0,4.0,101.0,159.0,78.4,240.0,300.0,0.568,-27.448063885394,9.0312688098709
69.5,50.0,4.0,101.0,169.0,78.4,240.0,300.0,0.9388,-27.048844190821,8.31347320809703
69.5,50.0,4.0,101.0,179.0,78.4,240.0,300.0,0.9379,-40.27239904403,8.18928301536716
69.5,50.0,4.0,101.0,189.0,78.4,240.0,300.0,0.9361,-37.61881276056,8.134585775706151
69.5,50.0,4.0,101.0,199.0,78.4,240.0,300.0,0.9343,-27.18801357311,8.236997094099548
69.5,50.0,4.0,101.0,209.0,78.4,240.0,300.0,0.9325,-22.614021207465,8.331425166683925
69.5,50.0,4.0,101.0,219.0,78.4,240.0,300.0,0.9307,-21.008491855322,8.39513956579888
69.5,50.0,4.0,101.0,229.0,78.4,240.0,300.0,0.9289,-19.577626067317,8.371183265679061
69.5,50.0,4.0,101.0,239.0,78.4,240.0,300.0,0.9271,-18.924082344992,8.302587309008283
69.5,50.0,4.0,101.0,249.0,78.4,240.0,300.0,0.9262,-18.724252867487,8.214299573592418
69.5,50.0,4.0,101.0,259.0,78.4,240.0,300.0,0.5653,-19.36468631714,8.563704008842514
69.5,50.0,4.0,101.0,139.0,83.3,240.0,300.0,0.5833,-21.729547466269,8.723485206899454
69.5,50.0,4.0,101.0,149.0,83.3,240.0,300.0,0.5788,-21.144121992857,9.004492435922367
69.5,50.0,4.0,101.0,159.0,83.3,240.0,300.0,0.5752,-19.124330190592,9.051906357089429
69.5,50.0,4.0,101.0,169.0,83.3,240.0,300.0,0.5662,-18.470932753903,8.963776805612328
69.5,50.0,4.0,101.0,179.0,83.3,240.0,300.0,0.5635,-18.154175382083,9.03773121993345
69.5,50.0,4.0,101.0,189.0,83.3,240.0,300.0,0.9415,-19.460538504523,7.653596873654211
69.5,50.0,4.0,101.0,199.0,83.3,240.0,300.0,0.9388,-23.381556041342,7.775348113224018
69.5,50.0,4.0,101.0,209.0,83.3,240.0,300.0,0.9388,-26.197380413234,7.723883398457066
69.5,50.0,4.0,101.0,219.0,83.3,240.0,300.0,0.9388,-27.965556239679,7.852834078075498
69.5,50.0,4.0,101.0,229.0,83.3,240.0,300.0,0.937,-44.104421874602,8.01534671551175
69.5,50.0,4.0,101.0,239.0,83.3,240.0,300.0,0.9379,-43.223535485891,8.02969304114021
69.5,50.0,4.0,101.0,249.0,83.3,240.0,300.0,0.9352,-38.509860677487,8.123281073746263
69.5,50.0,4.0,101.0,259.0,83.3,240.0,300.0,0.9325,-33.925308055854,8.221041890608527
69.5,50.0,4.0,101.0,139.0,88.2,240.0,300.0,0.586,-17.432255828289,9.3008683020872
69.5,50.0,4.0,101.0,149.0,88.2,240.0,300.0,0.5851,-17.551071270492,9.087669091830714
69.5,50.0,4.0,101.0,159.0,88.2,240.0,300.0,0.5716,-15.8637314847,9.00916556237335
69.5,50.0,4.0,101.0,169.0,88.2,240.0,300.0,0.568,-16.69233399137,9.003623296132618
69.5,50.0,4.0,101.0,179.0,88.2,240.0,300.0,0.5716,-16.445384576404,9.086629906031876
69.5,50.0,4.0,101.0,189.0,88.2,240.0,300.0,0.9262,-15.709067299581,7.26804863314399
69.5,50.0,4.0,101.0,199.0,88.2,240.0,300.0,0.928,-18.204402079218,7.45386222289324
69.5,50.0,4.0,101.0,209.0,88.2,240.0,300.0,0.9289,-17.028358005628,7.603389275803165
69.5,50.0,4.0,101.0,219.0,88.2,240.0,300.0,0.9307,-18.186751337728,7.83157225728356
69.5,50.0,4.0,101.0,229.0,88.2,240.0,300.0,0.9307,-19.560853680574,7.984733498693066
69.5,50.0,4.0,101.0,239.0,88.2,240.0,300.0,0.9307,-20.78455653264,8.118772408721695
69.5,50.0,4.0,101.0,249.0,88.2,240.0,300.0,0.9298,-21.699677595453,8.13777599160366
69.5,50.0,4.0,101.0,259.0,88.2,240.0,300.0,0.9271,-24.462947872659,8.27823306162713
69.5,50.0,4.0,101.0,139.0,93.1,240.0,300.0,0.5887,-14.23023012023,9.428836476205209
69.5,50.0,4.0,101.0,149.0,93.1,240.0,300.0,0.5815,-14.006682003403,9.040256966470805
69.5,50.0,4.0,101.0,159.0,93.1,240.0,300.0,0.5698,-13.255060515966,8.914633515593565
69.5,50.0,4.0,101.0,169.0,93.1,240.0,300.0,0.5653,-12.663850713158,8.879340972349064
69.5,50.0,4.0,101.0,179.0,93.1,240.0,300.0,0.9145,-11.791827002813,6.433351252231588
69.5,50.0,4.0,101.0,189.0,93.1,240.0,300.0,0.9145,-12.186880272163,6.429295109792808
69.5,50.0,4.0,101.0,199.0,93.1,240.0,300.0,0.9145,-13.237979278714,6.301289114970188
69.5,50.0,4.0,101.0,209.0,93.1,240.0,300.0,0.9163,-13.230859149173,6.639694243069091
69.5,50.0,4.0,101.0,219.0,93.1,240.0,300.0,0.9181,-13.59417935235,6.8827106416328965
69.5,50.0,4.0,101.0,229.0,93.1,240.0,300.0,0.9199,-14.117060876704,7.253893003071235
69.5,50.0,4.0,101.0,239.0,93.1,240.0,300.0,0.9208,-15.125975217732,7.448483246397562
69.5,50.0,4.0,101.0,249.0,93.1,240.0,300.0,0.9226,-15.626640749932,7.629413965995795
69.5,50.0,4.0,101.0,259.0,93.1,240.0,300.0,0.9226,-16.360410457708,7.699062239675336
69.5,50.0,4.0,101.0,139.0,98.0,240.0,300.0,0.5788,-11.186547938618,9.273661480349212
69.5,50.0,4.0,101.0,149.0,98.0,240.0,300.0,0.577,-11.914254370449,8.826782111596328
69.5,50.0,4.0,101.0,159.0,98.0,240.0,300.0,0.5743,-12.224176303966,8.780600363573843
69.5,50.0,4.0,101.0,169.0,98.0,240.0,300.0,0.2593,-12.829753108227,3.5696556712757617
69.5,50.0,4.0,101.0,179.0,98.0,240.0,300.0,0.2584,-12.685506408216,3.5420407611347238
69.5,50.0,4.0,101.0,189.0,98.0,240.0,300.0,0.2593,-12.696966274382,3.567658537929999
69.5,50.0,4.0,101.0,199.0,98.0,240.0,300.0,0.2584,-12.849284256675,3.537222296722708
69.5,50.0,4.0,101.0,209.0,98.0,240.0,300.0,0.9001,-12.919839128561,6.868213120089241
69.5,50.0,4.0,101.0,219.0,98.0,240.0,300.0,0.901,-12.971592436969,6.67931528027453
69.5,50.0,4.0,101.0,229.0,98.0,240.0,300.0,1.0,-14.094758590014,9.0776354166538
69.5,50.0,4.0,101.0,239.0,98.0,240.0,300.0,1.0,-14.492890772064,8.8072785451646
69.5,50.0,4.0,101.0,249.0,98.0,240.0,300.0,1.0,-14.196504839017,8.5673061947674
